name_id,xy,page_ark,catalog_no,section,name,vintage,perprice,caseprice,bottle_type,type,wine_type,color,country,entry_name,entry_perprice,entry_caseprice,entry_country,entry_vintage,entry_color,entry_variety,entry_region,entry_province,name_dis,xy_dis,score
d74s3d-003_1_16,"{493,-4632}",d74s3d-003,100,French Champagne,Michel Guerard Brut,0,9.95,107.50,Standard,wine,Sparkling,White,France,MICHEL GUERARD BRUT,9.95,107.50,,,,,,,0,58,0
d74s3d-003_1_17,"{457,-4948}",d74s3d-003,5,French Champagne,Bollinger R.D.,1969,22.95,247.86,Standard,wine,Sparkling,White,France,BOLLINGER,22.95,247.86,France,1969,,,,,5,65,0
d79w2m-004_1_10,"{309,-4031}",d79w2m-004,183,A Library of Rare Old Clarets,CHATEAU CLOS F OURTET (St. Emilion),1953,7.59,81.95,Standard,wine,Still,Red,France,CHATEAU BRANAIRE (Saint Julien),5.99,64.70,US,,,,,,19,13,32
d79w2m-004_1_4,"{312,-3319}",d79w2m-004,832,A Library of Rare Old Clarets,"CHATEAU LA MISSION HAUT BRION
 (Graves)",1955,10.95,118.20,Standard,wine,Still,Red,France,CARRUADES DE LAFITE ROTHSCHILD,96.65,,,,,,,,30,10,1714
d79w2m-004_2_10,"{2096,-3930}",d79w2m-004,5069,A Library of Rare Old Clarets,CHATEAU PAVIE (St. Emilion),1942,5.99,64.70,Standard,wine,Still,Red,France,CHATEAU PAVIE (Saint Emilion),3.99,64.70,France,,,,,,4,22,40
d79w2m-004_2_17,"{2093,-5159}",d79w2m-004,5059,A Library of Rare Old Clarets,"CHATEAU PICHON LONGUEVILLE

LALANDE (Pauillac)",1934,16.50,172.00,Standard,wine,Still,Red,France,CHATEAU PICHON LONGUEVILLE LALANDE (Pauillac),11.95,129.00,France,1923,,,Pauillac,,2,20,91
d79w2m-008_1_1,"{425,-1812}",d79w2m-008,600,Original Abfullung,"HATTENHEIMER NUSSBRUNNEN RIESLING CABINET BEERENAUSELSE, Langwerth von Simmern",1964,18.00,,Standard,wine,Still,,Germany,HATTENHEIMER NUSSBRUNNEN RIESLING CABINET BEERENAUSELSE Original Abfullung Langwerth Simmern,18.00,,Germany,1964,,Riesling,,,23,54,0
d79w2m-009_2_5,"{2119,-3495}",d79w2m-009,158,The Great 1961 Clarets,CHATEAU HAUT BRION (Graves),1964,14.50,156.60,Standard,wine,Still,Red,France,CHATEAU HAUT BRION (Graves),14.50,156.60,France,,,,Graves,,0,11,0
d79w2m-013_3_18,"{2088,-4729}",d79w2m-013,150,Red Bordeaux,"CHATEAU MOUTON ROTHSCHILD
 (Pauillac)",1964,9.75,105.30,Standard,wine,Still,Red,France,Pinar Tad substantially 108 Magr Picked Price 108,9.96,,,,,,,,41,51,4.20000000000002
d79w2m-013_3_20,"{2091,-5055}",d79w2m-013,899,Red Bordeaux,"CHATEAU LAFITE ROTHSCHILD
 (Pauillac)",1964,10.95,120.00,Standard,wine,Still,Red,France,CHATEAU PETRUS (Pomerol) Sele,1.00,9.05,France,,,,Pomerol,,25,52,199
d79w2m-014_1_11,"{266,-4502}",d79w2m-014,80,Champagne for the Holidays,Moet & Chandon Dom Perignon,1961,14.50,156.60,Standard,wine,Sparkling,White,,MOET CHANDON DOM PERIGNON,14.50,156.60,US,1861,,,,,2,68,0
d79w2m-014_1_5,"{286,-2581}",d79w2m-014,155,Champagne for the Holidays,Ayala Gold Label Brut,1961,6.49,73.50,Standard,wine,Sparkling,White,,AYALA GOLD LABEL BRUT,6.49,73.50,France,1961,,,,,0,34,0
d79w2m-025_1_6,"{221,-3468}",d79w2m-025,338,Burgandy,"ALOXE CORTON, Chandon de Brailles",1964,3.69,39.85,Standard,wine,Still,Red,France,ALOXE CORTON Chandon de Brailles,3.69,39.85,,,,,Aloxe Corton,,1,92,0
d79w2m-025_2_6,"{2048,-3718}",d79w2m-025,5033,Burgandy,"BEAUNE CLOS DES MOUCHES, ]. Drouhin",1964,5.89,63.60,Standard,wine,Still,Red,France,BEAUNE CLOS DES MOUCHES }DBrowldinn,5.89,63.60,France,,,,Beaune,,9,100,0
d79w2m-029_1_5,"{249,-3467}",d79w2m-029,598,Clarets of the 1962 Vintage,CHATEAU ROUGET (Pomerol),1962,2.99,32.30,Standard,wine,Still,Red,France,CHATEAU ROUGET (Pomerol),2.99,32.30,France,,red,,Pomerol,,0,12,0
d79w2m-029_2_3,"{2014,-2845}",d79w2m-029,103,Clarets of the 1962 Vintage,CHATEAU LASCOMBES (Margaux),1962,3.99,43.10,Standard,wine,Still,Red,France,CHATEAU LASCOMBES (Margaux),3.99,43.10,France,,,,Margaux,,0,20,0
d79w2m-034_1_28,"{358,-4869}",d79w2m-034,771,Wines of the Jura,"CHATEAU D’ARLAY BLANC, Comte de Vogue ,",1964,3.49,37.70,Standard,wine,Still,,France,CHATEAU ROSE Gomde de Vogue,2.49,26.90,France,,rose,,,,17,36,20
d79w2m-034_1_3,"{330,-1982}",d79w2m-034,987,The Wines of the Loire Valley,"MONTLOUIS, Nicolas",1967,1.79,19.35,Standard,wine,Still,,France,MONTLOUIS Nicolas,1.79,19.35,,1967,,,,,1,12,0
d79w2m-034_2_20,"{2117,-3611}",d79w2m-034,327,Wines of Spain,MARQUIS DE RISCAL (Red),,2.25,24.30,Standard,wine,Still,,Spain,MARQUIS DE RISCAL (Red),2.25,24.30,Spain,,red,,,,0,18,0
d79w2m-034_2_22,"{2117,-3917}",d79w2m-034,438,Wines of Italy,"ORVIETO DRY, Bigi (White)",,1.75,18.90,Standard,wine,Still,,Italy,ORVIETO DRY Bigi (White),1.75,18.90,Italy,,white,,Orvieto,,1,23,0
d79w2m-037_1_6,"{295,-4521}",d79w2m-037,134,The Good 1960 and 1963 Clarets,"CHATEAU CHEVAL BLANC
 (St. Emilion)",1960,5.79,62.25,Standard,wine,Still,Red,France,CHATEAU CHEVAL BLANC,5.79,62.25,France,,white,,,,15,52,0
d79w2m-037_2_7,"{2060,-4951}",d79w2m-037,5086,The Good 1960 and 1963 Clarets,CHATEAU HAUT BRION (Graves),1963,4.99,53.90,Standard,wine,Still,Red,France,CHATEAU HAUT BRION (Graves),4.99,53.90,France,,,,Graves,,0,6,0
d79w2m-038_1_5,"{244,-2100}",d79w2m-038,790,The Charming Vin Roses of France,"BANDOL ROSE, Chateau Braquety",1966,1.99,21.50,Standard,wine,Still,Rosé,France,Bordeaux Valley There just Sweetness 790 BANDOL ROSE Chateau Bragquety,1.99,21.50,,1966,rose,,Bandol,Bordeaux,43,79,0
d7c889-012_1_12,"{815,-5124}",d7c889-012,5039,"""Best Buys"" In Champagne",Bollinger Brut,0,6.35,68.58,Imperial,wine,Sparkling,White,France,BOLLINGER BRUT (19 Imperial},68.58,,France,,,,,,14,274,1244.6
d7g01t-025_1_22,"{535,-3350}",d7g01t-025,12,French Champagnes,Charles Heidsieck Rose,1971,13.99,151.09,Standard,wine,Sparkling,Rosé,France,CHARLES HEIDSIECK ROSE,13.99,151.09,France,1971,rose,,,,0,170,0
d7g01t-025_1_31,"{531,-3947}",d7g01t-025,15,French Champagnes,Louis Roederer Cristal,1971,25.95,280.26,Standard,wine,Sparkling,White,France,LOUIS ROEDERER CRISTAL,25.95,280.26,France,1971,,,,,0,162,0
d7g01t-025_1_8,"{523,-2365}",d7g01t-025,32,French Champagnes,Lanson Black Label Brut,0,10.65,115.02,Standard,wine,Sparkling,White,France,LANSON BLACK LABEL BRUT,10.65,115.02,France,,,,,,0,160,0
d7g59k-003_2_1,"{2284,-984}",d7g59k-003,-1,White Burgundy,Bienvenue Batard Montrachet,1969,79.20,0.00,Standard,wine,Still,White,France,Bienvenue Batard Montrachet,79.20,,France,,,,Bienvenues Batard Montrachet,,0,302,0
d7g59k-003_2_2,"{2312,-1403}",d7g59k-003,-1,White Burgundy,Batard Montrachet,1969,99.00,0.00,Standard,wine,Still,White,France,Batard Montrachet,99.00,,France,,,,Batard Montrachet,,0,336,0
d7g59k-004_1_9,"{542,-4529}",d7g59k-004,-1,Red Burgundy,Clos de la Griotte-Chambertin,1969,79.00,0.00,Standard,wine,Still,Red,France,Clos de Griotte Chambertin,79.00,,France,,,,Chambertin,,4,163,0
d7h59w-017_1_4,"{356,-3686}",d7h59w-017,155,Champagne on Sale,Ayala Gold Label Brut,1959,4.99,56.50,Standard,wine,Sparkling,White,France,AYALA GOLD LABEL BRUT,2.99,56.30,France,1959,,,,,0,27,40
d7kw23-008_1_6,"{380,-3907}",d7kw23-008,25,French Champagne,"Ledoyen, Blanc de Blancs",1964,6.99,75.50,Standard,wine,Sparkling,White,France,LEDOYEN BLANC DE BLANCS,0.99,75.50,,1964,white,,,,1,53,120
d7kw23-008_2_4,"{2107,-3475}",d7kw23-008,37,Other Champagnes and Sparkling Wines,Almaden Blanc de Blancs Brut,0,6.36,68.69,Standard,wine,Sparkling,White,France,ALMADEN BLANC DE BLANCS BRUT,6.36,68.69,,,white,,,,0,26,0
d7kw23-009_1_10,"{511,-3350}",d7kw23-009,335,Red Wines from the Rhone Valley,Gigondas,1966,2.29,24.75,Standard,wine,Still,Red,France,CHATEAUNEUF PAPE (Felibres),2.49,26.90,France,1964,,,Chateauneuf du Pape,,24,12,4
d7kw23-010_1_12,"{2063,-3038}",d7kw23-010,531,Red Wines of Italy,Chianti Riserva,1964,1.99,21.50,Standard,wine,Still,Red,Italy,BARDOLINO (Bolla),2.49,30.13,Italy,,,,Bardolino,,15,53,10
d7ms3r-029_1_8,"{692,-2932}",d7ms3r-029,28,French Champagnes,"Mesnil, Blanc de Blancs",1964,6.99,79.50,Standard,wine,Sparkling,White,France,MESNIL BLANC DE BLANCS,6.99,79.50,,,white,,,,1,214,0
d7ms3r-030_1_11,"{574,-3503}",d7ms3r-030,78,Other Sparkling Wines,Lachrima Christi,0,4.89,52.81,Standard,wine,Sparkling,White,Italy,LACHRIMA CHRISTY,4.89,52.81,,,,,,,1,167,0
d7pk52-003_1_2,"{660,-3985}",d7pk52-003,R,Fine French Champagnes at Low Cost,Mailly Brut,1943,3.99,43.89,Standard,wine,Sparkling,White,France,JHPETYOT VENC Magnums,8.25,,,,,,,,18,110,85.2
d7ps3c-002_1_10,"{427,-5071}",d7ps3c-002,97,Champagnes on Sale,"CHARLES HEIDSIECK CUVEE
ROYAL ",1959,11.95,129.06,Standard,wine,Sparkling,White,France,CHARLES HEIDSIECK CUVEE ROYAL,11.95,129.06,France,1959,,,,,2,123,0
d7ps3c-006_1_9,"{1869,-4439}",d7ps3c-006,394,The Great 1964 Burgundies,CLOS VOUGEOT (Pierre Poupon),1964,5.99,64.70,Standard,wine,Still,Red,France,"CLOS VOUGEOT Pierre Poupon Zev Thetemererrier) ""Tha",3.99,64.70,France,,,,Vougeot,,25,91,40
d7ps3c-006_2_2,"{278,-3839}",d7ps3c-006,362,The Great 1964 Burgundies,CHASSAGNE MONTRACHET (Ramonet),1964,2.99,32.30,Standard,wine,Still,Red,France,PINOT NOIR DE MARSANNAY,2.90,32.30,,,,Pinot Noir,Marsannay,,24,76,1.80000000000001
d7tg6n-004_3_18,"{466,-4353}",d7tg6n-004,58,French Champagnes-Bottles,Clicquot Yellow Label Brut,1959,8.72,94.18,Standard,wine,Sparkling,White,France,Clicquot Yellow Label Brut,8.72,94.18,,1959,,,,,0,34,0
d7vc79-003_1_7,"{564,-3146}",d7vc79-003,18,French Champagnes,Cliquot Yellow Label Brut,0,8.55,92.28,Standard,wine,Sparkling,White,France,Bone CLIQUOT YELLOW LABEL BRUT,8.55,92.28,,,,,,,5,39,0
d7vc79-003_2_10,"{2240,-4035}",d7vc79-003,102,American Champagnes,Taylor Brut,0,4.90,52.92,Standard,wine,Sparkling,White,United States of America,Champagne 102 TAYLOR BRUT,4.90,,,,,,,Champagne,14,67,0
d7w88z-016_1_6,"{664,-3562}",d7w88z-016,31,French Champagne on Sale,Louis Roederer Cour Royale Brut,0,6.98,75.50,Standard,wine,Sparkling,White,France,Here best Champagnes tasted wonderful Cuvee 1959 Though Champagn,65.98,,France,1960,,,,Champagne,54,65,1180
d7ws37-000_1_19,"{757,-3994}",d7ws37-000,R,Moselles Wines,Piesporter Goldtropfchen Spatlese,1947,3.75,41.00,Standard,wine,Still,White,Germany,Ora Prd) TTY PIESPORTER GOLDTROPFCHEN SPATLESE (Orig Kes,3.75,41.00,,1947,,,,,23,171,0
d7x30h-016_1_4,"{642,-2737}",d7x30h-016,100,French Champagne on Sale,"Cramant, Blanc de Blancs",1959,5.99,68.50,Standard,wine,Sparkling,White,France,LEDOYEN BLANC DE BLANCS BRUT,5.99,68.50,,1961,white,,,,13,111,0
d7z30t-008_3_15,"{2313,-4858}",d7z30t-008,161,Other World-Famous Champagnes,Taittinger Blanc de Blancs,1952,10.69,118.02,Standard,wine,Sparkling,White,France,TAITTINGER BLANC DE JOBS,10.69,118.02,France,,white,,,,5,120,0
d7101s-025_1_2,"{427,-2090}",d7101s-025,961,Wines of America,Boordy Red (N.Y. State),1971,1.89,20.50,Standard,wine,Still,Red,United States of America,BOORDY RED State),1.89,20.50,,1971,red,,,,6,76,0
d7101s-026_1_8,"{427,-2800}",d7101s-026,49,French Champagnes,Moet & Chandon Brut Imperial,0,10.99,118.69,Standard,wine,Sparkling,White,France,MOET CHA NDON BRUT IMPERIAL,10.99,118.69,Chile,,,,,,3,35,0
d7101s-026_2_3,"{2058,-4190}",d7101s-026,95,American Champagnes,Great Western Brut (N.Y.),0,5.29,57.13,Standard,wine,Sparkling,White,United States of America,GREAT WESTERN BRUT,5.29,57.13,US,,,,,,7,25,0
d72013-009_1_1,"{791,-2720}",d72013-009,571,Bourgognes Rouges,COTE DE BEAUNE VILLAGES,1964,2.49,26.90,Standard,wine,Still,Red,France,MACON VIRE,2.19,23.65,France,1966,,,Macon Verze,,18,494,6.00000000000001
d72013-009_1_2,"{784,-3401}",d72013-009,877,Bourgognes Rouges,BONNES-MARES,1961,6.95,75.05,Standard,wine,Still,Red,France,POUILLY FUISSE,2.85,32.49,France,1966,,,Pouilly Fuisse,,12,477,82
d7388t-004_1_10,"{1079,-1829}",d7388t-004,-1,Champagnes,"Lanson, Extra Dry",1926,5.50,59.00,Fifth,wine,Sparkling,White,,Extra Fifth,5.00,35.00,,,,,,,13,118,10
d7388t-004_1_20,"{1087,-2998}",d7388t-004,-1,Champagnes,Piper Heidsieck Brut,1928,4.85,52.00,Fifth,wine,Sparkling,White,,Brut Fifths,4.85,52.00,,,,,,,18,126,0
d7388t-004_2_7,"{3191,-2343}",d7388t-004,-1,Still Champagne,Cramant Jules Lilbert,1935,1.37,15.00,Fifth,wine,Still,White,,Cramant Fifths,1.37,15.00,,1935,,,,,12,374,0
d79w2m-004_1_13,"{309,-4342}",d79w2m-004,123,A Library of Rare Old Clarets,CHATEAU LATOUR (Pauillac),1953,15.95,172.25,Standard,wine,Still,Red,France,CHATEAU MISSION HAUT BRION Graves),3.75,103.30,France,,,,Graves,,21,14,244
d79w2m-004_1_14,"{309,-4406}",d79w2m-004,5075,A Library of Rare Old Clarets,CHATEAU PETRUS (Pomerol),1953,19.95,215.45,Standard,wine,Still,Red,France,CHATEAU LATOUR (Pauillac),15.95,172.25,France,,,,Pauillac,,11,14,80
d79w2m-004_1_19,"{305,-4990}",d79w2m-004,736,A Library of Rare Old Clarets,CHATEAU LATOUR (Pauillac),1952,14.50,156.00,Standard,wine,Still,Red,France,CHATEAU MISSION HAUT BRION (Graves),12.25,132.30,France,,,,Graves,,22,14,45
d79w2m-004_1_3,"{312,-3197}",d79w2m-004,5088,A Library of Rare Old Clarets,"CARRUADES DE LAFITE ROTHSCHILD
 (Pauillac)",1955,8.95,96.65,Standard,wine,Still,Red,France,CHATEAU LEOVILLE LASCASES Saint Julien),7.99,86.30,France,,,,,,32,15,19.2
d79w2m-004_2_6,"{2093,-3403}",d79w2m-004,256,A Library of Rare Old Clarets,CHATEAU MONTROSE (St. Estephe),1947,9.95,197.45,Standard,wine,Still,Red,France,CHATEAU MONTROSE (Saint Estephe),9.95,107.45,France,,rose,,,,4,20,0
d79w2m-008_1_4,"{428,-2415}",d79w2m-008,642,Original Abfullung,"WEHLENER SONNENUHR BEERENAUSLESE, Job. 105. Pruem",1959,37.50,,Standard,wine,Still,,Germany,WEHLENER SONNENUHR BEERENAUSLESE Original Abiullung Joh Jos Pruem,37.50,,Argentina,1959,,,,,25,39,0
d79w2m-008_1_7,"{432,-3209}",d79w2m-008,645,Original Abfullung,"HOCHHEIMER DOMDECHANEY CABINET TROCKENBEERENAUSLESE, Staatsweinguter",1959,42.75,,Standard,wine,Still,,Germany,HOCHHEIMER DOMDECHANEY CABINET TROCKENBEERENAUSLESE Original Abfullung,42.75,,,1959,,,,,18,37,0
d79w2m-009_2_1,"{2133,-2359}",d79w2m-009,584,The Great 1961 Clarets,"CARRUADES DE CHATEAU LAFITE

ROTHSCHILD (Pauillac)",1964,8.95,96.75,Standard,wine,Still,Red,France,CARRUADES DE CHATEAU LAFITE ROTHSCHILD (Pauillac),8.95,96.75,France,,,,Pauillac,,2,69,0
d79w2m-013_2_15,"{335,-3969}",d79w2m-013,191,Red Bordeaux,CHATEAU FERRIERE (Margaux),1964,3.49,37.70,Standard,wine,Still,Red,France,WHMATEAU FERRIERE (Margaux),7.70,37.70,France,,,,Margaux,,2,36,84.2
d79w2m-013_2_19,"{342,-4766}",d79w2m-013,100,Red Bordeaux,CHATEAU L’ANGELUS (St. Emilion),1964,3.79,40.95,Standard,wine,Still,Red,France,Featured Emilion),40.95,79.40,,,red,,,,18,29,743.2
d79w2m-014_2_8,"{2026,-4515}",d79w2m-014,37,Champagne for the Holidays,Almaden Blanc de Blancs Brut,0,6.36,68.69,Standard,wine,Sparkling,White,United States of America,ALMADEN BLANC DE BLANCS BRU,6.36,68.69,,,white,,,,1,71,0
d79w2m-023_1_9,"{406,-4903}",d79w2m-023,548,The Very Best of Austria,Stift Schotten Grinzinger Auslese,1966,2.89,31.21,Standard,wine,Still,White,Austria,GRINZINGER AUSLESE Estate Stift Schotten,2.89,31.21,,1966,,,,,35,59,0
d79w2m-025_1_11,"{239,-4769}",d79w2m-025,285,Burgandy,"GEVREY CHAMBERTIN, Tortochot",1964,3.99,43.10,Standard,wine,Still,Red,France,VOSNE ROMANEE Grivot,3.99,43.10,France,,,,Vosne Romanee,,21,30,0
d79w2m-025_1_8,"{232,-3942}",d79w2m-025,224,Burgandy,"BEAUNE CENT VIGNES, Duchet . . .",1964,3.79,40.95,Standard,wine,Still,Red,France,BEAUNE CENT VIGNES Duchet,3.79,10.95,France,,,,Beaune,,7,34,0
d79w2m-025_2_3,"{2041,-2683}",d79w2m-025,759,Burgandy,"POMMARD RUGIENS, Lejeune",1964,4.79,51.75,Standard,wine,Still,Red,France,POMMARD RUGIENS Lejeune,4.79,51.75,France,,,,Pommard,,1,95,0
d79w2m-026_1_3,"{272,-2769}",d79w2m-026,685,The Great White Burgandies of the Blessed 1966 vintage,POUILLY FUISSE,1964,2.49,28.90,Standard,wine,Still,White,France,POUILLY FUISSE,2.49,26.90,France,,,,Pouilly Fuisse,,0,74,0
d79w2m-029_2_5,"{2014,-3410}",d79w2m-029,184,Clarets of the 1962 Vintage,"CHATEAU LA MISSION HAUT

BRION (Graves)",1962,6.19,66.85,Standard,wine,Still,Red,France,CHATEAU MISSION HAUT BRION (Graves),6.19,6.85,France,,,,Graves,,5,71,0
d79w2m-030_2_1,"{2132,-2678}",d79w2m-030,385*,Red Burgundies,"POMMARD RUGIENS, Lejeune . . .",1966,4.79,51.75,Standard,wine,Still,Red,France,385 POMMARD RUGIENS Lejeune,4.79,51.75,France,,,,Pommard,,11,19,0
d79w2m-034_1_22,"{348,-3883}",d79w2m-034,623,Red Wines of the Rhone Valley,"COTE ROTIE, Bruno Thierry",1964,2.99,32.30,Standard,wine,Still,Red,France,COTE ROTIE Bruno Thierry,2.99,32.30,France,1964,,,Cote Rotie,,1,2,0
d79w2m-034_1_8,"{337,-2352}",d79w2m-034,741,The Wines of the Loire Valley,"QUINCY, Domaine R. Pipet",1967,2.59,27.95,Standard,wine,Still,,France,QUINCY Domaine Pipet,2.59,27.95,France,1967,,,Quincy,,4,6,0
d79w2m-034_2_32,"{2124,-4835}",d79w2m-034,544,Wines of Portugal,MATEUS ROSE (Pink),,2.29,24.75,Standard,wine,Still,,Portugal,MATEUS ROSE {Pink},2.29,24.75,,,rose,,,,2,25,0
d79w2m-037_1_4,"{295,-3680}",d79w2m-037,479,The Good 1960 and 1963 Clarets,CHATEAU COS D’ESTOURNEL (St. Estephe),1960,3.29,35.55,Standard,wine,Still,Red,France,CHATEAU COS (Saint Estephe)},3.29,33.53,,,,,,,14,85,0
d79w2m-037_2_6,"{2064,-4616}",d79w2m-037,5035,The Good 1960 and 1963 Clarets,"CHATEAU LAFITE ROTHSCHILD
 (Pauillac)",1963,4.99,53.90,Standard,wine,Still,Red,France,(Pauillac),4.99,53.90,France,,,,Pauillac,,27,67,0
d79w2m-038_2_1,"{248,-3116}",d79w2m-038,786,White Bordeaux,"BORDEAUX BLANC, Domaine de la Marquis",1966,1.39,15.00,Standard,wine,Still,White,France,BORDEAUX BLANC 196s Domaine de Marquis Medium Firm,1.39,15.00,France,,white,,Bordeaux Blanc,,19,103,0
d7bc7n-029_2_4,"{2011,-4797}",d7bc7n-029,97,Two Rare Champagnes Classics,Charles Heidsieck Cuvee Royal,1961,13.95,150.66,Standard,wine,Sparkling,White,France,CHARLES HEIDSIECK CUVEE ROYAL,13.95,150.66,France,1961,,,,,0,64,0
d7bc7n-029_2_5,"{2019,-5294}",d7bc7n-029,82,Two Rare Champagne Classics,Moet & Chandon Dom Perignon,1962,15.55,167.94,Standard,wine,Sparkling,White,France,MOET DOM PERIGNON CHANDON,15.55,167.94,US,1962,,,,,18,108,0
d7g01t-025_1_24,"{535,-3458}",d7g01t-025,106,French Champagnes,Piper Heidsieck Brut,1969,15.89,171.61,Standard,wine,Sparkling,White,France,PIPER HEIDSIECK BRUT,15.89,171.61,France,1969,,,,,0,168,0
d7js34-026_1_12,"{655,-3313}",d7js34-026,62,Pick Your Favorite French Champagne,Mumm's Cordon Rouge Brut,0,7.43,81.73,Standard,wine,Sparkling,White,France,Taittinger Brut Francais,7.49,82.69,France,,,,,,23,23,1.20000000000001
d7js34-026_1_28,"{663,-4563}",d7js34-026,20,Pick Your Favorite French Champagne,Lauren Perrier Grand Siecle,1955,12.40,133.92,Standard,wine,Sparkling,White,France,Laurent Perrier Grand Siecle,13.80,149.00,France,1955,,,,,1,16,28
d7k01r-001_1_5,"{850,-3361}",d7k01r-001,76,Champagne & Sparkling Wine,Mumm's Rene Lalou,1969,15.99,172.70,Standard,wine,Sparkling,White,France,MUMM'S RENE LALOU,15.99,172.70,,1969,,,,,0,361,0
d7kw23-009_1_14,"{502,-4228}",d7kw23-009,874,Alsatian Wines,Sylvaner (Nicolas),1967,1.69,18.25,Standard,wine,Still,Red,France,SYLVANER (Nicolas),1.69,18.25,Italy,1967,,Sylvaner,,,0,29,0
d7kw23-010_1_2,"{2043,-1303}",d7kw23-010,800,Unusual Wines (Cont'd),St. Pourcain Blanc (Bourbonnais),0,1.59,17.15,Standard,wine,Still,White,Spain,(Pyrenees) Beli FITOU,1.09,18.25,France,,,,Fitou,,27,60,10
d7kw23-010_1_4,"{2035,-1750}",d7kw23-010,885,Unusual Wines (Cont'd),Ventoux Rouge,1967,1.79,19.35,Standard,wine,Still,Red,Spain,VENTOUX ROUGE (Provence),1.79,19.35,France,1967,red,,Ventoux,Provence,11,26,0
d7kw23-010_2_5,"{327,-3277}",d7kw23-010,670,The Wines of Paternina,Gran Reserva (Rioja),1949,4.99,53.90,Standard,wine,Still,Red,Spain,GRAN RESERVA (Rioja),2.99,64.70,Spain,1947,,,Rioja,,0,57,40
d7nk5r-002_2_7,"{2125,-4780}",d7nk5r-002,99,Other Champagnes and Sparkling Wines,Korbel Brut (California),0,4.99,53.89,Standard,wine,Sparkling,White,United States of America,outstanding MATIDDITNTY TPIT,4.99,53.89,,,,,,,25,91,0
d7nk5r-002_2_8,"{2133,-5096}",d7nk5r-002,37,Other Champagnes and Sparkling Wines,Almaden Blanc de Blancs Brut (California),0,6.08,65.66,Standard,wine,Sparkling,White,United States of America,Almaden Blanc de Blancs Brut (California),6.08,65.66,US,,white,,,California,0,46,0
d7pp4q-023_1_15,"{392,-3083}",d7pp4q-023,39,French Champagne,Dom Ruinart Blanc de Blancs,1969,12.99,140.29,Standard,wine,Sparkling,White,France,DOM RUINART BLANC DE BLANCS,120.90,140.28,France,,white,,,,0,26,2158.2
d7pp4q-023_2_19,"{2228,-4552}",d7pp4q-023,6,Coteaux Champenois,Ayala Blanc de Blancs Coteaux Champenois,0,4.59,52.35,Standard,wine,Still,White,France,AYALA BLANC DE BLANCS COTEAUX CHAMPENOIS,4.59,52.35,France,,white,,,,0,214,0
